,아이디,댓글 내용
88,  김민주,문자 처음 받는 건데에서 진짜 눈물 나는데 그거에 말만이라도 기쁘다고 하는거에 진짜 말 예쁘게 하시는 것 같아서 감동받아서 눈물남
89,  X X,사랑은 타이밍입니다 여러분…… 다들 타이밍 잘 잡으셔서 행복한 사랑하세요!!!!!!!!! 규민이도 좋은 사람 만나서 행복해라 꼭
90,  나야나,진짜 문자 얘기할때 나도 눈물 진짜 딱 터짐그냥 타이밍이..그 사랑이..뭐라고ㅠㅠㅜㅠㅠㅠ
91,  J.H Han,"규민이 욕하는 이야기가 많은데 전 전 남친으로써, 새로운 인연을 만들어 주고, 자기보다 더 사랑해주는 사람을 만들어줬다고 생각합니다. 단 규민씨도, 생각보다 7년이란 시간이 커서, 끝날때 아쉬움이 남았겠지요. 그래서 아마 자기가 오만했다고 이야기한것 같아요. 그래도 처음에 나연씨에게 마음간거 끝까지 의리 지킨거 보면 괜찮은 사람이라고 느껴집니다."
92,  wowowowowow,와 정말 저 순간에 얼마나 많은 감정을 참았을까
93,  유동혁,사람들 다 너무 좋아보인다... 다들 행복하세요 ~
94,  이망구??,규민 너무 멋있음 왜 욕먹는지 모르겠어 처음부터 끝까지 다른 사람들한테도 다정하고 어른스러운데 ㅠㅠ
95,  김호영,규민이가 진짜 남자다이 관계는 안될꺼라는걸 알고 미련가득한 전애인한테 힘든대도 독하게 곁을 안주고이제 전애인이 갈준비가 된거같으니 마지막으로 상처보듬아주고 보내주는..
96,  SZ Lee,"(규민)나는 그대를 뒤로한 채로 우리 사랑을 놓아요차오르는 추억을 헝클어뜨려 모두 일어나지 않았던 일처럼 고갤 저어 모르는 꿈이라 말하고 있네요남았는지 모를 마음이 나를 향해 힘껏 달려도 어느 끝 멈춰질 그 거리에 그대다 찢겨져버린 사이 더 기워봐도 다시 그때로 우리 되돌려 놓을 수 없는 그 얘기날카롭게 패인 이 상처가 깊어 나을 수 없으니 떠나가요 (해은)떨궈진 눈물은 가슴에 담아지고 이제 더는 채울 자리 없이 넘쳐흐르네요그대인지 모를 얼굴이 나를 향해 웃음 지어도 손 내밀 수도 없는 거리에 그대또 주저앉을 수밖에 무너진 이 사랑과 그대의 모든 흔적을 그리워하는 일만이더 할 게 없어서 무력해져 가는 내가 싫어(규민&해은)그대를 보내기 싫지만다 찢겨져버린 사이 더 기워봐도 다시 그때로 우릴 되돌려 놓을 수 없는 그 얘기날카롭게 패인 이 상처가 깊어 나을 수 없으니 떠나가요(시청자)노랫말보다 더 영화같은 이야기를 보여준 두 사람의 앞 날에 행복이 가득하길 기원합니다."
97,  HB H,해은 규민 처음부터 끝까지 보면서 맨날 울었다 너무 현실적이면서 서로의 마음 둘다 이해가 돼서ㅠㅠ 해은이가 현규 만난 것처럼 규민도 진짜진짜 좋은 사람 만났음 좋겠다 ㅠㅠ정말..진짜 격하게 정말로ㅠㅠㅠㅠㅠㅠㅠㅠ
98,  디기디기댕댕,나만 귀엽나 흐이흐흐이흐 울음소리 왤케 귀여워ㅜ
99,  Lifeisgood,"솔직히 나는 제주도 와서 카페에서 둘이 이야기 할때까지만 해도(x데이트 말고) 규민이가 이해가 안되는 입장이었지만, 저번주부터 규민이가 보이는 모습이랑 인터뷰가 너무나 이해가고 마음 아팠음.. 그리고, 규민 포함 모든 출연진들이 한층 성숙해진 거 같아서 정말 의미있는 프로그램인 거 같다. 다들 행복했으면 좋겠다."
100,  조셉,7년이 그리웠다면 해은이 저 만큼 울지 않았을텐데해은은 정말 규민을 못 놓고 있었던 것 같다규민도 해은도 앞으로 상처받지않고 행복하게 살기를
101,  밍,규민이나 해은이가 느끼는 양가감정을 모르고 그저 질투나니까 제 마음 안거다 치부해버리는 분들은.. 저 둘처럼 깊은 사랑은 안 해보셨나봐요자신이 어떤 마음이었는지 뭘 배려하고 싶었는지 솔직히 말하면서 그게 마냥 옳지만은 않았을지도 모른다 인정하는게 쉬운 줄 아시나요... 둘 다 대단한거에요
102,  돌쿰,규민 마지막으로 잘가.. 할때 눈물 팡팡ㅠㅠㅠㅡㅠㅡㅠㅠㅠㅠㅠ
103,  Jen C,규민이 멋지다. 각자 행복해라
104,  내 이름은 젤리????,해은님이 겪었던 아픔을 규민님은 프로그램이 끝나고 겪지않았을까 싶어요.. 출연자들 모두 행복하길 바랍니다~
105,  배은희,이 장면은 몇번을 봐도. 가슴이 찡하고. 눈물이난다..
106,  Love Yourz,규민이가 진짜 멋진 남자네
107,  맘맘,"엑스룸에라도 갔었으면 좀 더 빨리 깨달았을까... 보고나면 흔들릴거라는걸 알아서 보지않았던걸까...규민이 저렇게 다정한 사람이었구나..,맘이 아프네..."
108,  김다현,정규민이 ㄹㅇ 상남자다... 개멋짐....
109,  mark woo,규민은 정말 속이 넓고 여린 사람이다.
110,  ㅇㅅㅇ,현규 나올 때 배경 음악 깔리는 거 무쳤다
111,  콜라포,난 솔직히 규민이도 이해됐었는데 맨날 욕먹는 거 보고 맘아팠다…둘다 행복해야해
112,  토깽,이 둘을보고 느낀점이 있다면 사랑은 타이밍이구나 정말로..
113,  말하는감쟈,마지막에 노래나오면서 현규 등장하는거 ㅈㄴ 영환데 소름돋아..
114,  Gemmin,규민이도 행복해지면 좋겠다
115,  김현석,사이사이에 들어간 마지막 인터뷰 표정과 말투로 너무나도 결과가 보여서 보는 내내 힘들었다...ㅠㅠ 둘다 사랑해
116,  봉봉,규민이가 정말 대단한 사람인거 같다
117,  일관된논리,환승연애 안봐서 앞뒤내용은 잘 모르지만 규민은 진짜 어른스러운 남자다 아마 연애하면서 엄청 싸웠겠지 반복되고 반복되고 헤어지며 만나며 얼마나 많은 감정과 생각이 오갔겠어 이미 규민은 알고있던거지 다시 사귄다 해도 결국 정해진 결말이라는걸 규민이는 해은이 미련도 남고 자기가 잘해주면 흔들릴거라는것도 다 알고있는거같고 지금까지 줬던 상처 낭비된 시간들이 자기가 채워줘야될 몫이지만 그렇게 할 수 없다는걸 뼈저리게 알고있기에자기가 채워줄수없다면 다른 사람이라도 그걸 채워줬으면 하는 바람이였을거고  마지막 선택까지 한방울의 미련도 남기지않게 하기 위해서 그런 선택을 한것이고 규민은 진짜 생각이 깊은 사람이다..해은을 배려해준 만큼 규민이도 좋은 사람과 만나 다시 사랑했으면 하는 바람..
118,  Tanco Lee,자신의 예전 행동을 되돌아보고 잘못한 점을 인정할 수 있는 건 규민이 해은이한테 큰 사람일 수 있었던 이유인듯. 마지막화에서 규민 진짜 멋있었음. 둘 다 앞으로 행복만 했으면 좋겠다.
119,  이영주,규민 진짜 멋진 남자다아마도 해은은 규민 진짜 못 잊을듯...규민님도 꼭 좋은분 만나세용
120,  maysie joy,20대의 청춘을 함께한 그들은  잊지못할 추억을 함께한 영원한 친구로 가슴속에 남아있을거이여~~규민아 맘편히 생각하고 일해라.
121,  jung yoon,규민이 진짜 깊은 사람입니다 전 규민 행동 다 이해되더라구요... 진짜 왜냐면 왜 그렇게까지 차가운지도 알거같았거든요..다시 만날거 아니면 그렇게 하면 안될거니까 다시 만나면 더 좋은 추억까지 나빠질수있으니까.. 그냥 여기까지가 둘의 인연이라는걸 알아서 더 그랬던거같아요. 해은은  더 미련이 남은쪽이고.. 규민은 사랑할만큼 다해서 미련이 없는것 같았어요. 그래도 슬프긴하니까요 하 사랑이 뭘까요 진짜
122,  링티,해은 우는거 너무 맘아프고 규민이가 마지막에라도 사과해줘서 고맙다 ...
123,  Bella,규민이도 좋은 사람만나서 행복해야해
124,  무비클립movie clips,규민아 정말 행복 해라 ㅜㅜ
