,아이디,댓글 내용
457,  Bora Hwang,규민이도 해은이를 선택할 수 없는 나름의 이유가 있었겠지 ㅜ 묵묵히 지켜볼 수 밖에 없는 마음이 얼마나 힘들었을까. 30대에는 더욱 찬란한 연애를 하길…
458,  뮤뮤,이래서 끼리끼리 만나는거란말이 있는거 해은이가 좋은사람이였다면 초중반 주구장창 개청자들한테 까였던 규민이도 결국 착하고 좋았던 사람
459,  훗슬기,난 규민이 해은 사랑해서 보내준거라고 생각함 어차피 붙잡아봤자 같은시간이고 이미 흘러간 시간이라서..현규가 그만큼 괜찮은사람이니까 보낸준거  본인은 어차피 선택해야되니깐 나연한거 같음 보면서 느낀게 확실하고 깨끗한이별은 없구나 느낌 어떻게든 미련은있구나 끊어내냐 아니냐의 문제지
460,  김씨,사랑은 타이밍이다 서울에서도 충분히 보낼 수 있던 것도 맞지 해은같이 충실하게 마음 표현하는 사람들은 그래도 미련이 덜 남는데 타이밍 놓친 사람들이 더 후회하더라
461,  조이 강,성숙한 이별 그 자체였다
462,  똑똑이,"다른것보다 시청자들의 양면성에 경악을 금치 목하겠다,,"
463,  곰돌이??,"영화"" 먼훗날우리""에 주동우와정백연이 차안에서 서로 울며  얘기하는 그모습과 비슷해서 더 울었다는ㅜㅜㅜㅜㅜ"
464,  성이름,완전한 이별을 하기위해 해은을 불렀던거구나
465,  스마일??,큰 수확임 서로 섭섭했던거 다 풀고 서로 마지막 인사하고 해은이는현규선택 규민이는 나연선택 서로 미련이 있는게 아니라 헤어질때 서로 대화도 제대로 못했을거고 프로그램상에서도 규민이가 대화를 차단했으니 막판에 서로 다 풀고 잘 헤어짐
466,  Jack Davide,환승연애라는 프로그램은 서로가  x앞에 있을때 더 빛나기에 더 매력적인 프로그램인듯…
467,  Sora Kim,아 진짜 영화같애ㅠㅜ흐엉 영화보다ㅠ슬픔
468,  s메이플,7년은 그냥 사랑하고 즐거웠던 시간을 넘어선 아프고 힘들때 의지를 갖고 서로를 이해하려는 시간까지 포함하는거라서 헤어짐도 아프고 쉽지 않을 수 밖에 없어요.서로 20대의 아낌없는 사랑을 주고 받았으니헤어질때도 서로의 안녕을 바래줄 수 있었을거같아여
469,  나는,가장 가까웠던 사람이 가장 멀어지는 사람이 되는건 슬픈일이다
470,  파덕파덕,"해은이만 잡고 있는 추억은 힘이 없었고,결국 무너졌다.무너져버린 잔해 속 남은 미련은추억을 잡지 못한 규민이의 몫이다."
471,  내돈내산,하 진짜 나 눈물ㄴ ㅏ너무ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
472,  nana _,규민이는 마지막에 해은이가 규민에게서 듣고싶어하는 말들을 다해주고 달래서 보냄. 진짜 성숙한 사람이란거. 일주일 더 있는다고 달라졌을까? 실제론 다 있는 자리에서 안지 얼마안된 남자 스킨십해댈때 안되겠다는 마음 더 굳혔을것같은데
473,  GUAVA,규민은..확고해.....
474,  jawha km,"이용진이랑 패널들이 규민이보고 갈피를 못잡는다, 헷갈리게 한다라고 하는데 이용진과 패널들이야말로 여론에 휘둘려서 제대로 못보는거임. 규민이는 최종선택 전날인 엑스데이트 하루 빼고는 일관되게 해은이가 다른 사람과 행복하길 바랬음. 그러다 엑스데이트날 아무래도 6년 4개월이라는 시간이 있는지라 순간적으로 좀 감정이 복잡했던거고 중요한건 헤어지는 장면에서 1주일 더 있었으면 내가 해은이 널 선택했을지 모른다, 내가 너무 곁을 안내줬던거 같다. 이런 말을 하는데 이건 해은이의 미련을 이용해서 자신 옆에 두려는게 아니라 오히려 그 원망,미움 오해 등등 의 감정을 해소하고 새출발할 수 있도록 해은이의 자신에 대한 감정을 해소하기 위한 한풀이같은거라고 생각함. 옆좌석에서 계속 울고 미련 남는 말을 하며 감정을 정리 못하고 있으니 달래기 위해 했던 말인거죠미련, 원망, 애정 등 복잡한 감정 때문에 정리하지 못하는  해은이가 규민에게 너가 제일 나쁜 사람이야 왜 그렇게 곁은 안내줬어 라는 말을 해도 규민이는 그냥 그래 내가 잘못했어 다 내 잘못이야 하고 다 받아주고 이런 감정을 해소시키는 거지. 문학으로 치면 한, 원망을 해소하고 훨훨 떠나보내는 의식같은거임. 후회가된다. 일주일 더 있었으면 너를 선택했을 것이다 같은 말을 액면 그대로 들으면 안됨.규민씨는 전혀 다른 맥락으로 말한거니깐.끝까지 다 받아주고 새로운 출발을 할 수 있게 한 규민이 정말 성숙한 사람이라고 생각함"
475,  ㄱ,핱시도 환연도 시즌 2 레전드인 이유는 다 출연진들 덕택이라고 생각
476,  김뚜아무,이게 클립으로만보면 오해할수도잇긴한데 매회 풀로 다 본 나는 그냥 규민이 이해가갓음
477,  해삐한루핑,"나 이맘 다 알아요,, 23살,,일년 연애 육개월 남친 해외연수,, 그리고 육개월 연애 헤어짐,, 그리고 일년 연애 정말 사랑했기에 기다리고 그 사람인줄 알았어요,,,근데 그 시절에 헤어졌을 때 넘 힘들고 슬프지만 33살 먹은 이순간 이 장면 보면서 느낀건,,, 결혼도 하고 이혼도 하고 살다보니 이렇게 자기 표현을 그 나이에 하고 느끼고 느 낄수 잇는 감정을 안다는건 좋다고 생각해요. 규민이도 욕 많이 먹었는데 항상 행복 하세요."
478,  듕,이정도...깊은 사랑이라면 결혼해야하는거...아닌가..요.....ㅠㅠ나왜울어..ㅜㅜㅜ
479,  Yamyam,둘다 아직 마음이 있는 거 아닌가 싶네
480,  듀얼,해은이가 규민이가 좋아했던 이유는 있을듯… 모든게 이해되. 규민의 입장과 해은의 입장……둘다얘들아 규민이 같은 남자 찐이야..한 여자한테 직진하는 남자 미워하지마 이런사람이 눈돌리지않아 규민아 응원한다
481,  큐티걸,솔직히 감정 다 그대로 표출하고 울고하는 것보다 속으로 꾹꾹참고 견디고 감정 감추려고 하는게 백배 천배 더 힘듬 해은이도 힘들지만 규민이도 힘들었을 것같음
482,  Dr. D.C.,인생에서 단 한번 오는 확실한 여자가 있는데 규민이에게 해은이가 그래. 아쉽지만 버스떠났다 규민아. 너도 더 행복해지길.
483,  K Hana,연애할 땐 솔직한 게 최고인 것 같다. 그게 쉬운 건 아냐
484,  눈부셔,사랑도 이별도 타이밍....규민이 자존심이 아까운시간을 보내버렸네요 ㅜㅜ규민이도 좋은사람 만나서 행복했으면..... 시간이 흐르면 이런 첫사랑이 있었다는게 좋은 기억으로 남을 거에요 그래서 저는 부럽네요
485,  예지 이,7년을 만났는데 전화로 통보받고 헤어졌다는데 해은 당연히 미련이 남을수밖에 없고 규민은 자기 행동에 책임을 지듯. 해은이 미련을 착각해 흔들리거나 더 좋은 선택에 방해가 될까 모질게 하려했던거 같고 진짜 규민과 해은은 여기서 진정한  매즘을 할수있었던거 같다
486,  뭔데,규민이 조온나 멋있네...알지? 규민이는 나연이가 희두선택할거 거의확신하면서도 나연이 선택한거다
487,  아방가르드,재회하지 않음으로써 더 이별을 아름답게 마무리할 수 있었던 것 같아요
488,  이유,이커플 너무슬프다ㅜㅜ
489,  어머투,드라마보다 더 드라마 같았음....
490,  홍이,20대의사랑은 숨김없이 진실된 사랑입니다  항상 소중하게 생각하고행복하세요   아픈사랑은 행복한사랑으로...
491,  김동구,하.. 이건 못할 짓이다. 프로그램이 너무 자극적이다. 출연진들은 도대체 무슨 생각으로 저길 나간거지
492,  Xcdq,그냥 해은이는 너가 이래도 나한테 안와? 오기를 부렸던거 같음 나한테 흔들렸나 아니냐에 너무 집착함
493,  별바람,어릴때 추억 무시못함...나중에 그 추억이 함께 오래 갈 버팀목이 될텐데
494,  mary,내가 우리 신랑이랑 7년 결혼 생활중인데. 신랑이 없었을때가 기억이 안난다. 7년의 연애를 해본적은 없지만 그 시간의 무거움은 이해할 수 있을것같아.  근데 해은아 인생은 계속 흘러가는거니까.  지나가는 인연에 아쉬움과 고마움에 안녕을 잘하고 새로운 인연과의 시간을 또 만들어 가 봐. 시간은 시간으로 사람은 사람으로 잊혀질거야.
495,  수빈,ㅜㅜㅜㅜㅜ얘기 차라리 다끝내고 선택하러오지 앞에 현규 세워두고 둘이 얘기가 너무 길어서 조금 아쉬웠음... 하지만 다들 넘 수고많았어ㅜㅜ
496,  별보러가자!,자존심 다 버리고 함께하고 싶은 사람이였다면아무리 술 취해도 정현이랑 그런 애정행각 보일수없다
497,  숨결,규민님 멋진분
498,  pnut,엉엉...주제넘은 바램이지만 그냥 다 같이 놀러다니고 그러면 좋겠다
499,  하윤희,그냥 너무 안타까웠음.. 결과는 서로 갈길 잘 갔지만.. 그냥 규민이랑 해은이랑 서로 단 한 번만이라도 제대로 된 데이트하고 서로 감정에 조금만.. 진짜 조금만 다가섰더라면 결과는 달라졌을텐데..이거 보고 느낀 건 온 마음을 다해야겠다는 생각 뿐이다.지금 내 곁에 있는 사람에게 최선을 다하자.
500,  비타민플러스,타이밍이 참... ㅠㅠ 진짜 사랑은 타이밍이 ... ㅠㅠ
501,  hs han,규민이..어른이다..ㅎ
502,  전정국,멋진사람이다 드디어 끝낸다 ㅎㅎ
503,  JJ,이래서 타이밍이중요한가부다
504,  김타협,처음 받는 거 였네 라는 말이 존나 슬프다 시이발ㅠㅠㅠ
505,  하늘바다,내가 환연에 과몰입하게 된 계기가 해은 규민 사전 X미팅 이후였다..둘이 너무 예뻐서..응원 많이 했는데..이렇게 헤어지는 모습을 보게되네..맘이 아프네요..둘이 예쁘게 사랑했고..이제..맘고생 그만하고..행복하길 바랄게요..
506,  It’s good life Vlog,둘이 옆모습이 정말 닮을정도로 사랑하고 오랜만난사람들은 서로 닮아간다고했는데 보니 맞는것같네요
507,  heyxciii,Anyone crying without understanding anything? 
508,  훈,"나도 7년 사귄 여자친구가 있었다. 바르셀로나에서 우연히 만난 사람이었고 우리는 여행지에서도, 한국에 돌아와서도 이내 급속도로 가까워졌다. 나는 처음 그녀를 봤을 때 부터 가슴이 떨렸다. 하지만 막상 연애를 시작하니 두려웠다. 이 연애가 나의 인생에서 가장 긴 연애가 될 것이라는 것을 직감했기 때문이다. 아무 것도 모른 체 해맑게 웃기만 하는 그녀의 얼굴 위로 현실적인 이유로 인한 이별이 닥쳐올 때의, 그 미래의 고통이 매번 스쳐지나갔다. 나는 웃고 있었지만 내심 항상 걱정하고 있었다. 주변 상황 상 그럴 수 밖에 없을 것이 자명했다. 그러나 5년 혹은 7년 후 미래의 불확실성 때문에 그녀를 놓아버리기에는 너무 사랑했고 그 사람은 너무나 아름다웠다. 시간은 흐르고 흘렀고 5년 6년이 지나는 동안 우리는 각자의 인생에서 가장 큰 사람이 되어버렸다. 처음엔 중구난방이었고 혼란스럽기 그지 없던 다툼의 방식도 그쯤이 되니 나름의 룰이 생길 지경이었다. 하지만 나는 떠나야만 했다. 5년차 쯤 부터였나 나는 진지함 반, 지나가는 말 반의 어투로 이야기 했다. 우리는 그래서 언제 헤어져야 하냐며. 그녀는 강아지 같은 눈으로 나를 쳐다보며 정말 떠날거냐고 말했고 나는 그래야 하지 않을까... 얼버무렸다. 하지만 내가 모질지 못해서, 용기가 없어서 선뜻 하루라도 빨리 이별하지 못했다. 그녀는 그런 말을 할 수 없는 아이같이 순수한 사람이라는 걸 알고 있었고 내가 더 빨리 말했어야만 했는데. 결국 한국을 떠나기 세달 전에야 나는 그녀에게 간신히 입을 뗐다. 우리는 즐겁지만 우울하게, 우울하지만 즐겁게 마지막 데이트를 마쳤고 그녀는 그 때 서야 엉엉 대며 울기 시작했다. 언제까지고 미룰 수 있을 줄 알았던 울음이었는데 그 순간은 결국 목을 조이듯 다가왔다. 나는 몇마디 하지 못했다. 그 자리에서 ""안갈게"" ""일단 반년만 기다려줘"" 와 같은 미래에 있을 수 없는 말을 할 수는 없었다. 나는 장농에서 삐져나온 겨울옷을 구겨넣듯 그녀를 집에 들여보낼 수 밖에 없었다. 그녀는 어깨뽕이 있는 노란색 원피스를 입고 우는 소리를 내면서 연신 손으로 눈물을 훔쳤다. 그렇게 내게서 멀어졌고 나는 그 모습을 눈에 담기위해 끝까지 뒷모습을 바라보며 그녀를 차오르는 눈에 담았다.나는 규민과 해은에게서 그런 나의 모습을 보았다. 차에 앉아 서로의 눈을 세상이 끝날 때까지 바라보는 것. 한 편으로는 서로를 위한 마무리를 지을 수 있는 그들과 그것을 가능케해준 이 프로그램이 부러웠다. 그러나 이내 마음 속에 남는 것은 사랑이 할퀴고 간 지울 수 없는 인생의 흉터 혹은 화상 자욱이라는 것은 매한가지 라는 것을 깨달을 뿐이다. 한동안 비어있던 그녀의 프로필 사진도 어느 시점이 되자 푸르게 붉게 물들기 시작했고 그녀는 어떤지 모르겠지만 나는 새로운 사람들도 만났다. 하지만 좀처럼 같은 사랑을 하기는 어려웠다. 떨쳐버리는 커녕 4년이 지난 지금도 그녀와의 마지막 순간이 떠오른다. 아니 이상하게도 아픈 기억임에도 자꾸 스스로 꺼내어 본다. 그녀를 올바르게 보내주지 못한 미련 때문일까. 재미 있는 건 그렇게도 그 장면을 기억하기 위해 애썼는데 멍청한 뇌에서 그녀의 마지막 모습이 담긴 사진은 점점 기울어지고 귀퉁이가 떨어져나간다는 것이다.나는 남자라서 해은의 마음은 잘 모르겠다. 하지만 규민의 마음은 어느정도 나와 비슷하지 않았을까. 7년이라는 시간 이후에 아마 나처럼 어설픈 이별을 했을 것이고, 그것을 후회하고 만회하고 싶지 않았을까. 해은의 마지막 사진을 아름답게 담기 위해, 해은의 ""해피 엔딩""을 위해 저 자리에 굳이 굳이 간 것은 아닐까. 어쩌면 모순적이지만 해은을 너무 사랑하기에 해은이 좋은 사람을 만나고 행복해하는 모습을 보고 싶고 그 과정에서 본인이 그걸 도울 수 있지는 않을지 이 프로그램을 통해 기대했던 것은 아닐까. 나보다 규민은 멋진 사람이라서 모질지만 끝은 누구보다 아름답게 그녀를 보내주려고 했던 것은 아닐까. 내가 그랬듯, 규민은 낡은 마지막 사진 한장만 가슴에 품고 해은에게는 앞으로 펼쳐질 오색 영상을 선물해주고 싶었던 것은 아닐까. 그들의 영상이 그랬던 것 처럼 아름다운 영상을."
